I_D,TSEVENT_ID,YEAR,LATITUDE,LONGITUDE
980,971,1868,19.27,-155.15
981,971,1868,19.27,-155.23
983,971,1868,19.13,-155.51
984,971,1868,19.4297,-154.8833
979,971,1868,19.48,-155.92
990,975,1868,55.26,-160.68
991,976,1868,16.833,-99.917
992,978,1868,,
19009,981,1868,16.833,-99.917
1062,983,1868,-39.479,176.923
1063,983,1868,-41.2613,173.27278
1066,983,1868,-38,177.3
1067,983,1868,-45.7973,170.6373
1069,983,1868,-45.82,170.65
1032,983,1868,21.3,-157.867
1070,983,1868,-36.52,175.5
1071,983,1868,-36.58,174.69
1074,983,1868,39.37,141.88
1034,983,1868,19.35,-154.97
1035,983,1868,20.58,-156.38
1040,983,1868,19.717,-155.071
1042,983,1868,41.783,140.733
1043,983,1868,38.8,141.5
1075,983,1868,-44.392,171.254
1077,983,1868,-41.283,174.783
1078,983,1868,-41.75,171.567
1079,983,1868,,
1082,983,1868,-9,-139.5
1084,983,1868,-12.05,-77.15
1088,983,1868,-17.017,-72
1089,983,1868,-13.71,-76.22
1090,983,1868,-17.02,-72.01
1091,983,1868,-8.112,-79.0288
1092,983,1868,-13.83,-171.767
1023,983,1868,-19.6,-70.2167
1025,983,1868,-22.081,-70.196
1026,983,1868,-36.617,-72.95
1028,983,1868,-39.8,-73.233
1029,983,1868,,
1030,983,1868,-18,178
28103,983,1868,-19.888,-70.134
28104,983,1868,-37.25,-73.233333
28105,983,1868,-42.67,-73.99
28106,983,1868,38.8,141.5
28107,983,1868,-33.77,-80.79
28108,983,1868,-36.733333,-72.983333
28109,983,1868,-18.12,178.53
28110,983,1868,-51,-128
28101,983,1868,-34.929,138.601
28102,983,1868,-43.75,172.83
6699,982,1868,11.083,-63.95
1010,983,1868,-9.5,-78.3
1011,983,1868,-15.85,-74.23
1012,983,1868,-13.633,-76.383
1014,983,1868,-35.333,-72.417
1015,983,1868,-29.95,-71.3353
1016,983,1868,-37.02,-73.15
1017,983,1868,-39.867,-73.431
1020,983,1868,-33.617,-78.833
1021,983,1868,-23.1,-70.45
1022,983,1868,-17.101,-71.905
16416,983,1868,-43.695,173.06
1001,983,1868,37.807,-122.465
1000,983,1868,32.715,-117.174
1031,983,1868,19.733,-155.067
28111,983,1868,-12.09,-77.22
28112,983,1868,-36.83,-73.05
15714,983,1868,-25.4081,-70.4917
15715,983,1868,-33.033,-71.633
31949,983,1868,,
1006,983,1868,-18.467,-70.333
1013,983,1868,-22.55,-70.27
1019,983,1868,-20.217,-70.156
1024,983,1868,-36.683,-73.1
1086,983,1868,-17.639,-71.338
1087,983,1868,-16.998,-72.103
7959,5484,1868,46.208,-123.767
17351,983,1868,-13.8,-171.883
17352,983,1868,-13.817,-171.917
17353,983,1868,-13.94,-171.571
17354,983,1868,-14.03,-171.433
16420,983,1868,-38.383,142.244
16404,983,1868,-23.1,-70.45
16405,983,1868,,
16406,983,1868,,
16407,983,1868,,
16408,983,1868,-36.6354,-72.9579
16417,983,1868,-45.1,170.97
16418,983,1868,,
16419,983,1868,,
1044,983,1868,-33.85,151.233
1046,983,1868,26.212222,127.679167
1047,983,1868,34.667,138.95
1048,983,1868,35.46,139.65
1049,983,1868,-42.86,147.308
1051,983,1868,-43.83,172.98
1052,983,1868,-46.64,168.35
1053,983,1868,-37.53,177.98
1054,983,1868,-32.933,151.783
1057,983,1868,,
1060,983,1868,-34.9885,173.536
1056,983,1868,-43.4,172.67
1059,983,1868,-43.606,172.722
1033,983,1868,20.898,-156.472
1041,983,1868,21.95,-159.67
1039,983,1868,,
7644,983,1868,57.75,-152.48
